CourseId,CourseSection,CourseName,Location,StartDate,EndDate,Start_Time,End_Time,DurationMinutes,Class_Days,Description
ACC1011,A,Principles of Accounting I,LEWIS 203,8/29/2022,12/16/2022,2:45:00 PM,3:45:00 PM,60,MWF,ACC1011A: Principles of Accounting I
ACC3031,A,ST: Forensic Accounting,LEWIS 203,8/29/2022,12/16/2022,10:30:00 AM,12:00:00 PM,90,MTh,ACC3031A: ST: Forensic Accounting
ADV0321,A,On Course For Academic Success,STONE COFHSE,8/29/2022,12/16/2022,6:30:00 PM,7:30:00 PM,60,Wednesday,ADV0321A: On Course For Academic Success
ANT1011,A,Introduction to Cultural Anthropology,ADMIN 206,8/29/2022,12/16/2022,10:30:00 AM,12:00:00 PM,90,MTh,ANT1011A: Introduction to Cultural Anthropology
ART1601,A,Digital Foundations,FAB 412,8/29/2022,12/16/2022,1:00:00 PM,2:30:00 PM,90,TuF,ART1601A: Digital Foundations
ART1601,B,Digital Foundations,FAB 412,8/29/2022,12/16/2022,4:30:00 PM,6:00:00 PM,90,MTh,ART1601B: Digital Foundations
ART2110,A,ST: Sculpture I,FAB 406,8/29/2022,12/16/2022,1:00:00 PM,2:30:00 PM,90,MTh,ART2110A: ST: Sculpture I
ART2110,B,ST: Sculpture I,FAB 406,8/29/2022,12/16/2022,2:45:00 PM,4:15:00 PM,90,MTh,ART2110B: ST: Sculpture I
ART2251,A,Graphic Design I,FAB 301,8/29/2022,12/16/2022,1:00:00 PM,2:30:00 PM,90,MTh,ART2251A: Graphic Design I
ART3033,A,"ST: Create, Critique, Repeat",FAB 409,8/29/2022,12/16/2022,10:30:00 AM,12:00:00 PM,90,MTh,"ART3033A: ST: Create, Critique, Repeat"
BIO1521,A,Principles of Biology I,STEM 221,8/29/2022,12/16/2022,10:30:00 AM,11:30:00 AM,60,MWF,BIO1521A: Principles of Biology I
BIO1521,A,Principles of Biology I,STEM 221,8/29/2022,12/16/2022,1:00:00 PM,4:00:00 PM,180,Thursday,BIO1521A: Principles of Biology I
BIO1521,B,Principles of Biology I,STEM 221,8/29/2022,12/16/2022,8:30:00 AM,9:30:00 AM,60,MWF,BIO1521B: Principles of Biology I
BIO1521,B,Principles of Biology I,STEM 221,8/29/2022,12/16/2022,1:00:00 PM,4:00:00 PM,180,Monday,BIO1521B: Principles of Biology I
BIO1611,A,ST:Human Disease and Society,STEM 207,8/29/2022,12/16/2022,10:30:00 AM,11:30:00 AM,60,MWF,BIO1611A: ST:Human Disease and Society
BIO1611,A,ST:Human Disease and Society,STEM 207,8/29/2022,12/16/2022,1:00:00 PM,4:00:00 PM,180,Monday,BIO1611A: ST:Human Disease and Society
BIO2024,A,ST: Genetics,STEM 227,8/29/2022,12/16/2022,1:00:00 PM,2:00:00 PM,60,MWF,BIO2024A: ST: Genetics
BIO2024,A,ST: Genetics,STEM 227,8/29/2022,12/16/2022,1:00:00 PM,4:00:00 PM,180,Thursday,BIO2024A: ST: Genetics
BIO2051,A,ST: Comparative Vertebrate Anatomy,STEM 207,8/29/2022,12/16/2022,1:00:00 PM,4:00:00 PM,180,Thursday,BIO2051A: ST: Comparative Vertebrate Anatomy
BIO2051,A,ST: Comparative Vertebrate Anatomy,STEM 207,8/29/2022,12/16/2022,4:30:00 PM,5:30:00 PM,60,MWF,BIO2051A: ST: Comparative Vertebrate Anatomy
BIO3051,A,ST: Cell and Molecular Biology,STEM 227,8/29/2022,12/16/2022,10:30:00 AM,11:30:00 AM,60,MWF,BIO3051A: ST: Cell and Molecular Biology
BIO3051,A,ST: Cell and Molecular Biology,STEM 227,8/29/2022,12/16/2022,1:00:00 PM,4:00:00 PM,180,Tuesday,BIO3051A: ST: Cell and Molecular Biology
BIO4011,A,ST: Research Methods and Design,STEM 217,8/29/2022,12/16/2022,2:45:00 PM,4:15:00 PM,90,TuF,BIO4011A: ST: Research Methods and Design
BUS1011,A,Introduction to Business,LEWIS 004,8/29/2022,12/16/2022,2:45:00 PM,3:45:00 PM,60,MWF,BUS1011A: Introduction to Business
BUS1200,A,ST:Employment Readiness Experience,LEWIS 104,8/29/2022,12/16/2022,9:00:00 AM,10:00:00 AM,60,TuF,BUS1200A: ST:Employment Readiness Experience
BUS2021,A,Entrepreneurship and Innovation,LEWIS 004,8/29/2022,12/16/2022,1:00:00 PM,2:30:00 PM,90,TuF,BUS2021A: Entrepreneurship and Innovation
CER2011,A,Ceramics I,FAB 303,8/29/2022,12/16/2022,1:00:00 PM,2:30:00 PM,90,TuF,CER2011A: Ceramics I
CER2011,B,Ceramics I,FAB 303,8/29/2022,12/16/2022,8:30:00 AM,10:00:00 AM,90,TuF,CER2011B: Ceramics I
CER3011,A,Ceramics II,FAB 303,8/29/2022,12/16/2022,8:30:00 AM,10:00:00 AM,90,MTh,CER3011A: Ceramics II
CHE1521,A,Principles of Chemistry I,STEM 205,8/29/2022,12/16/2022,10:30:00 AM,11:30:00 AM,60,MWF,CHE1521A: Principles of Chemistry I
CHE1521,A,Principles of Chemistry I,STEM 205,8/29/2022,12/16/2022,1:00:00 PM,4:00:00 PM,180,Tuesday,CHE1521A: Principles of Chemistry I
CHE2011,A,Organic Chemistry,STEM 205,8/29/2022,12/16/2022,1:00:00 PM,4:00:00 PM,180,Thursday,CHE2011A: Organic Chemistry
CHE2011,A,Organic Chemistry,STEM 205,8/29/2022,12/16/2022,4:30:00 PM,5:30:00 PM,60,MWF,CHE2011A: Organic Chemistry
COM0111,A,Language and Communication,LEWIS 108,8/29/2022,12/16/2022,1:00:00 PM,2:00:00 PM,60,MWF,COM0111A: Language and Communication
COM1011,A,Introduction to Communications,LEWIS 005,8/29/2022,12/16/2022,2:45:00 PM,4:15:00 PM,90,MTh,COM1011A: Introduction to Communications
COM1011,B,Introduction to Communications,LEWIS 108,8/29/2022,12/16/2022,2:45:00 PM,3:45:00 PM,60,MWF,COM1011B: Introduction to Communications
COM1011,C,Introduction to Communications,LEWIS 004,8/29/2022,12/16/2022,8:30:00 AM,10:00:00 AM,90,MTh,COM1011C: Introduction to Communications
COM1011,D,Introduction to Communications,LEWIS 003,8/29/2022,12/16/2022,8:30:00 AM,10:00:00 AM,90,MW,COM1011D: Introduction to Communications
COM1011,E,Introduction to Communications,LEWIS 003,8/29/2022,12/16/2022,8:30:00 AM,10:00:00 AM,90,TuF,COM1011E: Introduction to Communications
COM1011,F,Introduction to Communications,LEWIS 004,8/29/2022,12/16/2022,4:30:00 PM,5:30:00 PM,60,MWF,COM1011F: Introduction to Communications
COM1011,G,Introduction to Communications,LEWIS 005,8/29/2022,12/16/2022,1:00:00 PM,2:30:00 PM,90,MTh,COM1011G: Introduction to Communications
COM1111,A,ST: Digital Storytelling 1,LEWIS 102,8/29/2022,12/16/2022,3:00:00 PM,4:00:00 PM,60,Tuesday,COM1111A: ST: Digital Storytelling 1
COM1160,A,Radio Training,FAB THEATR,8/29/2022,12/16/2022,4:30:00 PM,5:30:00 PM,60,Wednesday,COM1160A: Radio Training
